City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
146,Itaueira,BR,-7.6033,-43.0256,77.16,51,11,2.82,few clouds
147,Menongue,AO,-14.6585,17.691,61.25,95,95,3.89,overcast clouds
148,Ancud,CL,-41.8697,-73.8203,52.95,94,34,6.33,scattered clouds
149,Anchorage,US,61.2181,-149.9003,32.92,79,0,6.91,clear sky
150,Ozinki,RU,51.1786,49.6769,28.15,96,100,13.53,snow
151,Farafangana,MG,-22.8167,47.8333,73.58,86,92,7.52,light rain
152,Kanye,BW,-24.9667,25.3327,68.05,42,9,6.17,clear sky
153,Bongor,TD,10.2806,15.3722,70.29,32,27,5.99,scattered clouds
154,Somerset East,ZA,-32.7217,25.588,57.52,87,99,3.8,overcast clouds
155,Tungor,RU,53.3808,142.9564,22.87,76,13,7.23,few clouds
156,Bauchi,NG,10.5,10.0,63.86,42,0,3.56,clear sky
157,Guadalupe,MX,25.6833,-100.25,49.21,62,100,3.44,overcast clouds
158,Baherden,TM,38.4362,57.4316,51.8,51,91,6.82,overcast clouds
159,San Patricio,US,28.017,-97.5169,52.84,61,100,6.89,overcast clouds
160,Port Hueneme,US,34.1478,-119.1951,66.43,33,0,10.36,clear sky
161,Pailon,BO,-17.65,-62.75,76.1,51,57,3.13,broken clouds
162,Santa Cruz Do Sul,BR,-29.7175,-52.4258,63.59,61,0,1.61,clear sky
163,Cosala,MX,24.4125,-106.6908,64.24,71,4,2.26,clear sky
164,Brzesko,PL,49.9691,20.6061,40.59,91,100,7.7,light rain
165,Namibe,AO,-15.1961,12.1522,69.17,78,98,5.12,overcast clouds
166,Thinadhoo,MV,0.5333,72.9333,81.25,71,98,11.01,overcast clouds
167,Kaitangata,NZ,-46.2817,169.8464,58.41,79,93,6.73,overcast clouds
168,Castro,BR,-24.7911,-50.0119,54.82,83,0,6.96,clear sky
169,Gallup,US,35.5281,-108.7426,25.02,52,0,5.75,clear sky
170,Faanui,PF,-16.4833,-151.75,79.83,71,95,0.81,overcast clouds
171,Henties Bay,NA,-22.116,14.2845,58.86,94,6,6.26,clear sky
